Jornada,Juego,Local,Visitante,Momio_L,Momio_E,Momio_V,PG_L,PG_E,PG_V,G
1,1,Puebla,Atlas,140,200,200,0.4167,0.3333,0.3333,V
1,2,FC Juarez,América,370,230,-115,0.2128,0.303,0.5348,E
1,3,Tijuana,Queretaro,-188,320,450,0.6523,0.2381,0.1818,L
1,4,Toluca,Necaxa,-188,340,480,0.6523,0.2273,0.1724,L
1,5,Santos,Pumas,180,230,155,0.3571,0.303,0.3922,L
1,6,Cruz Azul,Mazatlan,-400,525,1200,0.8,0.16,0.0769,E
1,7,Pachuca,Monterrey,105,250,250,0.4878,0.2857,0.2857,L
1,8,Club León,San Luís,-120,270,400,0.5456,0.2703,0.2,V
1,9,Chivas,Tigres,135,230,185,0.4255,0.303,0.3509,E
2,1,América,Tijuana,-286,450,800,0.7407,0.1818,0.1111,L
2,2,Santos,Toluca,450,320,105,0.1818,0.2381,0.4878,V
2,3,Necaxa,Queretaro,-129,290,400,0.5634,0.2564,0.2,L
2,4,San Luís,Monterrey,240,255,115,0.2941,0.2817,0.4651,V
2,5,Mazatlan,Puebla,130,210,225,0.4348,0.3226,0.3077,L
2,6,Club León,Chivas,210,225,125,0.3226,0.3077,0.4444,L
2,7,Tigres,FC Juarez,-244,350,750,0.7092,0.2222,0.1176,L
2,8,Atlas,Cruz Azul,333,260,-133,0.2308,0.2778,0.5714,E
2,9,Pumas,Pachuca,200,225,130,0.3333,0.3077,0.4348,V
3,1,Puebla,Santos,-105,250,260,0.5128,0.2857,0.2778,L
3,2,Queretaro,Pumas,300,225,110,0.25,0.3077,0.4762,V
3,3,Tijuana,FC Juarez,108,260,280,0.4808,0.2778,0.2632,E
3,4,Pachuca,Mazatlan,-270,380,700,0.7299,0.2083,0.125,L
3,5,Chivas,San Luís,-200,333,533,0.6667,0.2309,0.158,L
3,6,Monterrey,Atlas,-225,350,500,0.6925,0.2222,0.1667,L
3,7,Cruz Azul,Club León,-182,350,525,0.6452,0.2222,0.16,L
3,8,Toluca,Tigres,-111,260,330,0.5263,0.2778,0.2326,V
3,9,Necaxa,América,255,265,120,0.2817,0.274,0.4545,E
4,1,Tigres,Puebla,-225,360,525,0.6925,0.2174,0.16,L
4,2,América,Queretaro,-500,500,1100,0.8333,0.1667,0.833,L
